Title,Author,CallNo,AccNo,
Electric circuits,"Nahvi, Mahmood",621.3192 NAH,267041,
Electric controls for refrigeration and air conditioning,"Langley, B. C",621.56 LAN,100135,
Electric drives: concepts and applications,"Subrahmanyam, Vedam",621.85 SUB,177860,
Electric machinary and transformers,"Kosow, Irving L",621.314 KOS,174033,
Electric machines,"Nagrath, I. J",621.31042 NAG,163398,
Electric machines,Ashfaq Husain,621.31042 ASH,229914,
Electric machines,"Kothari, D.P.",621.31042 KOT,264387,
Electric machines,Ashfaq Husain,621.31042 ASH,299737,
Electric Machines,Ashfaq Husain,621.31042 ASH,303667,
Electric machines: extracts. examples. exercises and questions,"Kumar, K Murugesh.",621.31042 KUM,232856,
Electric power distribution,"Pabla, A. S",621.319 PAB,177858,
"Electric power generation, transmission and distribution","Singh, S N",621.3121 SIN,233851,
Electric power systems,"Wadhwa, C. L",621.31 WAD,119660,
Electric power technology,"Wildi, Theodore",621.31 WIL,157622,
Electric power utilization,"Garg, Ram Kumar.",621.31 GAR,232825,
Electrical and electronic measurements,"Banerjee,G.K.",621.37 BAN,300295,
Electrical appliances: theory and repair,"Anwani, I.M",621.30284 ANW,232753,
Electrical automation: PLCs and SCADA,Naqui Anwer,621.31 NAQ,276834,
Electrical design estimating and costing,"Singh, Surjit",621.31029 SUR,314895,
Electrical energy: transmission and distribution,"Bala, B K",333.7932 BAL,232918,
Electrical engineering drawing,"Bhattacharya, S K",621.30221 BHA,229933,
Electrical engineering fundamentals,"Del Toro, Vincent",621.3 DEL,233841,
Electrical engineering materials,"Dekker, Adrianus J.",621.3 DEK,233602,
Electrical Engineering Technology,"Datta, Nilka Kanta",621.3 DAT,232547,
Electrical engineering: principles and applications,"Hambley, Allan R",621.3 HAM,233612,
Electrical laboratory exercises,"Kumar,Murugesh K",621.3076 MUR,232056,
"Electrical machinery: Theory,performance and application","Bimbhra, P.S",621.31042 BIM,232709,
Electrical machines,"Nagrath, I. J",621.31042 NAG,177852,
Electrical machines,"Bhattacharya, S. K.",621.31042 BHA,248603,
Electrical power system design,"Deshpande, M. V",621.3191 DES,177838,
Electrical power systems,"Wadhwa, C. L",621.3192 WAD,133209,
Electrical power systems,Ashfaq Hussian,621.3191 ASH,203707,
Electrical power systems,"Wadhwa, C. L",621.3191 WAD,203710,
Electrical power systems,Ashfaq Hussian,621.3191 ASH,232833,
Electrical power systems,"Wadhwa, C.L.",621.3191 WAD,251704,
"Electrical safety, fire safety engineering & Safety management: a text-book for engineering students","Rao, S.",363.189 RAO,232065,
Electrical system designing made simple,"Shankar,Rajiv",621.3 SHA,275613,
Electrical test papers with viva voce,"Anwani, M.L",621.30287 ANW,232765,
Electrical wiring estimating and costing,"Arora, B D",621.31933 ARO,234953,
Electricity and magnetism,"Tayal, D. C",537 TAY,196295,
Electricity and magnetism,"Mahajan, A.S",537 MAH,229276,
Electricity and magnetism,"Tayal, D. C",537 TAY,236639,
Electricity and magnetism: for degree students,"Starling, S. G",537 STA,42105,
Electrochemical methods: fundamentals and applications,"Bard, Allen J.",541.37 BAR,255132,
Electrodynamics of continuous media,"Lifshitz, E. M",537.6 LAN,49374,
Electromagnetic field theory,"Sah, Hazari Lal",530.141 SAH,276840,
Electromagnetic fields and waves,"Lorrain, Paul",537.12 LOR,113162,
Electromagnetic theory and electrodynamics: including electrostates,Satya Prakash,621.3 SAT,177297,
Electromagnetic waves and radiating systems,"Jordan, Edward C",537.12 JOR,110391,
Electromagnetic waves and transmission lines,"Rao,R.S.",621.319 RAO,300300,
Electromagnetism: theory and applications,"Pramanik, Ashuthosh",537 PRA,278375,
Electron scattering and nuclear and nucleon structure: a collection of reprints with an introduction,"Hofstadter, Robert",539.74,45275,
Electronic Circuit analysis and design,"Hayt ,Jr. William H.",621.3815 HAY,207962,
Electronic circuits,"Shivashankar, H N",621.3815 SHI,233862,
Electronic commerce: from vision to fulfillment,"Awad, Elias M.",004.6 AWA,297297,
Electronic commerce: from vision to fulfillment,"Awad, Elias M.",004.6 AWA,299544,
Electronic communication systems,"Kennedy, George",621.382 KEN,299745,
Electronic communications systems: fundamentals through advanced,"Tomasi, Wayne",621.382 TOM,230751,
Electronic communications: modulation and transmission,"Schoenbeck, Robert J",621.382 SCH,275569,
Electronic components & materials,"Jashi, Madhuri A",621.38133 JAS,137270,
electronic devices,Millman jacob,621.3815 MIL,205077,
Electronic devices,"Floyd, Thomas L.",621.3815 FLO,285512,
Electronic devices and applications,"Nair , B. Somanathan",621.3815 NAI,300290,
Electronic devices and circuit theory,"Boylestad, Robert L.",621.3815 BOY,299428,
Electronic devices and circuit theory,"Nashelsky, Louis",621.3815 BOY,303015,
Electronic devices and circuits,"Bell, David A",621.3815 BEL,231253,
Electronic devices and circuits,"Salivahanan, S.",621.38133 SAL,236232,
Electronic devices and circuits,"Bogart, Theodore F.",621.3815 BOG,241030,
Electronic devices and circuits,"Bell, David A.",621.3815 BEL,276113,
Electronic devices and circuits,"Reddy, S. Rama",621.3815 RED,284171,
Electronic devices and circuits,"Millman, Jacob",621.3815 MIL,299173,
Electronic devices and circuits,"Nagrath,I.J.",621.3815 NAG,300285,
Electronic devices applications and integrated circuits,"Mathur, Satnam P.",621.3815 MAT,109565,
Electronic devices: a text and software problems manual,"Schultz, Mitchel E",621.381 SCH,168422,
Electronic drafting and printed circuit  board design,"Kirkpatrick, James M.",621.38153 KIR,250999,
Electronic engineering materials and devices,"Allison, John",621.38133 ALL,182150,
Electronic fundamentals and applications: integrated and discrete systems,"Ryder, John D",621.381 RYD,299260,
Electronic instrumentation,"Kalsi, H S",621.3810284 KAL,236216,
Electronic instrumentation and measurements,"Bell, David A",621.381548 BEL,276174,
Electronic instruments and instrumentation technology,"Anand, M M S",621.37 ANA,231319,
"Electronic instruments and systems: principles, maintenance and troubleshooting","Gupta, R.G.",621.370288 GUP,250734,
Electronic principles,"Malvino, Albert Paul",621.381 MAL,236220,
Electronic principles,"Malvino, Albert",621.381 MAL,250715,
Electronics - analog and digital,"Nagrath, I. J",621.381 NAG,202861,
Electronics: principles and applications,"Schuler, Charles A",621.381 SCH,182156,
Electronics: questions and answers,,621.381 ELE,119623,
Electrotherapy explained: principles and practice,"Robertson , Val",615.845 ELE,300510,
Electrotherapy explained: principles and practice,"Robertson , Val",615.845 ELE,300511,
Electrotherapy: evidence based practice,"Watson , Tim ed.",615.845 ELE,300501,
Element of electrical engineering and electronics,"Sharma, B. R",621.3 SHA,138705,
Elementary analysis: the theory of calculus,"Ross, Kenneth A.",515.1 ROS,238684,
"Elementary analytical dynamics of a particle and of rigid bodies: including moment of inertia, compound...impulsive forces","Gupta, S. R",531.163 GUP,C9503,
Elementary differential equations,"Boyce, William E",515.35 BOY,231818,
Elementary differential equations and boundary value problems,"Boyce, William E",515.35 BOY,231823,
Elementary differential geometry,"O'Neill, Barrett",516.36 ONE,241800,
Elementary electrical engineering,"Gupta, M.L",621.3 GUP,232597,
Elementary engineering drawing: plane and solid geometry,"Panchal, V. M",604.2 BHA,176655,
Elementary engineering mathematics,"Grewal, B.S.",510 GRE,185969,
Elementary linear algebra,"Anton, Howard",512.5 ANT,229154,
Elementary linear algebra,"Andrilli, Stephen",512.5 AND,267303,
Elementary psychology,"Gates, Arthur I",150.19 GAT,30066,
Elementary psychology,"Mohsin, S. M",150.19 MOH,248609,
Elementary real analysis,Bansi Lal,515.8 BAN,175477,
Elementary real and complex analysis,"Shilov, Georgi E.",515 SHI,254370,
Elementary solid state physics: principles and applications,"Omar, M A",530.41 OMA,278430,
Elementary treatise on the dynamics of a particle and of rigid bodies,Loney  S L,531.16 LON,234677,
Elements of biostatistics,"Prasad, S",570.151 PRA,285389,
Elements of cartography,"Robinson, Arthur Howard",526.0221 ROB,98030,
Elements of cartography,"Robinson, Arthur H.",526.0221 ELE,284892,
Elements of civil and mechanical engineering,"Jayagopal, L. S.",624 JAY,233456,
Elements of civil engineering,"Bhavikatti, S. S.",624 BHA,196330,
Elements of control systems,"Gupta, Sudhir",629.8 GUP,233620,
Elements of coordinate geometry,"Loney, S. L",516.16 LON,C8579,
Elements of cost accounting,"Maheshwari, S. N",657.42 MAH,175653,
Elements of cost accounting,"Gupta, Nirmal",657.42 GUP,188924,
Elements of cost-benefit analysis,"Mishan, E. J.",658.1554 MIS,69582,
Elements of differential equations,"Kapoor, N. M",515.35 KAP,113490,
Elements of discrete mathematics,"Liu, C L .",004.0151 LIU,234666,
Elements of electrical engineering,"Dargan, C R",621.3 DAR,232899,
Elements of electronic instrumentation and measurement,"Carr, Joseph J.",621.381548 CAR,233989,
Elements of electronic navigation,"Nagaraja, N. S.",384.51 NAG,304210,
Elements of engineering electromagnetics,"Rao, Nannapaneni Narayana",621.3 RAO,233630,
Elements of engineering electromagnetics,"Rao, Nannapaneni Narayana",621.3 RAO,233631,
Elements of estimating and costing: professional practice,"Rangwala, S. C",692.5 RAN,109669,
Elements of general phonetics,"Abercrombie, David",414.8 ABE,37150,
Elements of information science,"Viswanathan, C.G.",025.04 VIS,298581,
Elements of library classification,"Ranganathan, S.R",025.42 RAN,119065,
Elements of manufacturing processes,"Parashar, B.S. Nagendra",670 PAR,275582,
Elements of mechanical engineering,"Sarao, A. S",621 SAR,138708,
Elements of mercantile law: including company law and industrial law,"Kapoor, N. D",346.07 KAP,106875,
Elements of partial differential equations,"Sneddon, Ian N.",515.353 SNE,234801,
Elements of physical chemistry,"Atkins, Peter",541.3 ATK,314577,
Elements of physics,"Smith, Lpheus W",530 SMI,45284,
Elements of practical geography,"Singh, R.L.",910 SIN,266800,
Elements of properties of matter: with typical numericals solved,"Mathur, D. S",530.124 MAT,49979,
Elements of quantum optics,"Meystre, Pierre",535.15 MEY,285706,
Elements of real analysis,"Wasan, Siri Krishan and Ravi Prakash",515.8 WAS,182648,
Elements of social organization,"Firth, Raymond",301 FIR,3786,
Elements of social psychology,"Bhatia, Hans Raj",302 BHA,103454,
Elements of solid state physics,"Srivastava, J.P.",530.41 SRI,278356,
Elements of structural analysis,"Bari, S. A",624.171 BAR,175788,
Elements of the theory of computation,"Lewis, Harry R.",004.015113 LEW,265788,
Elements of workshop technology,"Choudhury, S. K. Hajra",670 CHO,188324,
Elite politics in rural India: political stratification and political alliances in Western Maharashtra,"Carter, Anthony T",305.52095479 CAR,56238,
Emerging human resource management: blueprint to optimise human assets,"Bhatia, S.K.",658.3 BHA,257983,
Emma,"Austen, Jane",823.6 AUS,178291,
"Employment, technology and development: a study prepared for the international labor office...programme","Sen, Amartya",338.9 SEN,245527,
"Encircling the seamless: India climale change, and the global commons","Damodaran, A.",551.6 DAM,261989,
Encyclopaedia of librarianship,"Landau, Thomas , ed.",020.903 ENC,4135,
Encyclopaedia of social work in India,India. Ministry of Welfare,361.3095403 IND,161711,
Encyclopedia of American history,"Morris, Richard B",973.03 ENC,20134,
Encyclopedia of psychology,"Eysenck, H. J",150.03 ENC,52908,
Energy and natural resources: sustainability and management,"Kumar, H.D.",333.7916 KUM,285333,
Energy conservation: awareness and opportunities,"Ganapathi, Somana",333.7916 GAN,276844,
"Energy science: principles, technologies and impacts","Andrews, John",333.79 AND,276187,
Engineering chemistry,"Gopalan, R",540 GOP,195068,
Engineering chemistry,"Ray, Bidhan Chandra",540 RAY,269843,
Engineering chemistry,"Jain, Preeti.",660 JAI,303083,
Engineering chemistry: a modern approach,"Jain, P. C.",540 JAI,300033,
Engineering drawing and models using Auto CAD solid modeling and designer,"Kirkpatrick, James M",604.202855369 KIR,182432,
Engineering drawing: a course for technical schools of mechanical engineering,"Bogolyubov, S",604.2 BOG,135461,
Engineering drawing: geometrical drawing,"Gill, Pritam Singh",604.2 GIL,301461,
Engineering drawing: plane and solid geometry,"Bhatt, N. D.",604.2 BHA,301470,
Engineering drawing: with a primer on autocad,"Siddiquee, Arshad N et al",604.2 SID,230972,
Engineering electromagnetics,"Hayt, William H.",530.141 HAY,285485,
Engineering fluid mechanics,"Garde,R J",620.106 GAR,233498,
Engineering fluid mechanics,"Roberson, John A.",620.106 ROB,243147,
Engineering fundamentals,"Timings, R. L",620.1 TIM,168076,
Engineering fundamentals of the internal combustion engine,"Pulkrabek, Willard W.",621.43 PUL,240818,
Engineering graphics,"Bapat, A R",604.2 BAP,230645,
Engineering graphics,"Chandra, A.M.",604.2 CHA,240090,
Engineering graphics,"Sharma, S.C.",604.2028566 SHA,251050,
Engineering graphics with auto CAD,"Kulkarni, D.M.",604.202855369 KUL,303085,
Engineering graphics with Auto CAD release 14,"Bethune, James D",604.202855369 BET,182422,
Engineering hydrology,"Subramanya, K",551.48 SUB,248590,
Engineering hydrology,"Subramanya, K",551.48 SUB,248591,
Engineering materials,"Roy Chowdhury, K. P",620.11 ROY,65505,
Engineering materials,"Sharma, S. K",620.1 SHA,R7852,
"Engineering materials technology: structures, processing, properties and selection","Jacobs, James A",620.11 JAC,174038,
Engineering mathematics,"Venkataraman, M. K",510 VEN,165243,
Engineering mathematics,"Arumugam, S",510 ARU,233575,
Engineering Mathematics,"Dass, H. K",510 DAS,303657,
Engineering mathematics-I,Rakesh Mohan,510.76 RAK,251030,
Engineering mechanics,"Basu, A. R",620.1 BAS,168295,
Engineering mechanics,"Mokashi, V. S",620.1 MOK,168353,
Engineering mechanics,"Mokashi, V. S",620.1 MOK,168357,
Engineering mechanics,"Timoshenko, S",620.1 TIM,168485,
Engineering mechanics,"Kumar, K. L",620.1 KUM,182056,
Engineering mechanics,"Jindal, U. C",620.1 JIN,196080,
Engineering mechanics,"Bhavikatti, S S",620.1 BHA,316226,
Engineering mechanics of composite materials,"Daniel, Isaac M.",620.1183 DAN,276100,
Engineering mechanics of solids,"Popov, Egor P",620.105 POP,267086,
Engineering mechanics: statics and dynamics,"Rajasekaran, S",620.1054 RAJ,233324,
Engineering mechanics: statics and dynamics,"Khachane, Jivan",620.1 KHA,251218,
Engineering mechanics: statics part-I,"Jindal, U. C",620.1 JIN,196070,
